,place_id,result,success,acceptance_ratio,aver_revenue,revenue,cost,revenue_to_cost,inservice
58,59,False,53,0.8983050847457628,466.6101694915254,0,0,0.7752964037286322,41
59,60,False,53,0.8833333333333333,458.8333333333333,0,0,0.7752964037286322,41
60,61,True,54,0.8852459016393442,460.5081967213115,561,745,0.7748386384950626,40
61,62,True,55,0.8870967741935484,460.85483870967744,482,567,0.7759973927921566,40
62,63,False,55,0.873015873015873,453.53968253968253,0,0,0.7759973927921566,40
63,64,True,56,0.875,451.1875,303,430,0.7751738208370245,41
64,65,False,56,0.8615384615384616,444.24615384615385,0,0,0.7751738208370245,40
65,66,True,57,0.8636363636363636,443.27272727272725,380,501,0.7749523204068659,40
66,67,True,58,0.8656716417910447,442.07462686567163,363,520,0.7739078177257525,40
67,68,True,59,0.8676470588235294,437.29411764705884,117,147,0.7739920351909212,41
68,69,True,60,0.8695652173913043,436.5072463768116,383,486,0.7741678447500321,41
69,70,True,61,0.8714285714285714,431.2857142857143,71,93,0.7741422637058311,41
70,71,True,62,0.8732394366197183,428.5774647887324,239,333,0.7736645394218301,42
71,72,True,63,0.875,426.8888888888889,307,350,0.7745772535974396,43
72,73,True,64,0.8767123287671232,431.4931506849315,763,1056,0.7732282691410757,44
73,74,True,65,0.8783783783783784,438.3378378378378,938,1304,0.7715563378606598,43
74,75,True,66,0.88,438.82666666666665,475,589,0.772038470560638,43
75,76,True,67,0.881578947368421,444.57894736842104,876,1081,0.7729862048454622,42
76,77,True,68,0.8831168831168831,441.6753246753247,221,263,0.7733888206667576,42
77,78,True,69,0.8846153846153846,448.56410256410254,979,1436,0.7704910812596344,43
78,79,True,70,0.8860759493670886,448.4810126582278,442,501,0.7717104833264359,44
79,80,True,71,0.8875,447.475,368,463,0.7719411739336697,44
80,81,True,72,0.8888888888888888,451.5679012345679,779,1068,0.7709835167151469,43
81,82,True,73,0.8902439024390244,448.7317073170732,219,235,0.7717767476980515,43
82,83,False,73,0.8795180722891566,443.32530120481925,0,0,0.7717767476980515,42
83,84,True,74,0.8809523809523809,438.9761904761905,78,134,0.7712451109577294,43
84,85,True,75,0.8823529411764706,439.50588235294117,484,733,0.7695698747528016,44
85,86,True,76,0.8837209302325582,436.66279069767444,195,248,0.7696548614526971,44
86,87,True,77,0.8850574712643678,440.8735632183908,803,1046,0.7696135478951804,45
87,88,True,78,0.8863636363636364,437.67045454545456,159,221,0.7693921173015841,46
88,89,False,78,0.8764044943820225,432.75280898876406,0,0,0.7693921173015841,45
89,90,True,79,0.8777777777777778,433.1333333333333,467,620,0.7691943408512402,45
90,91,True,80,0.8791208791208791,430.8901098901099,229,337,0.7686020072134232,46
91,92,False,80,0.8695652173913043,426.20652173913044,0,0,0.7686020072134232,46
92,93,True,81,0.8709677419354839,427.13978494623655,513,598,0.7696361452319138,47
93,94,False,81,0.8617021276595744,422.59574468085106,0,0,0.7696361452319138,47
94,95,True,82,0.8631578947368421,425.11578947368423,662,919,0.7687739135400605,45
95,96,True,83,0.8645833333333334,427.4166666666667,646,956,0.7671109947839743,46
96,97,False,83,0.8556701030927835,423.0103092783505,0,0,0.7671109947839743,46
97,98,True,84,0.8571428571428571,423.6530612244898,486,727,0.7657886970635974,46
98,99,False,84,0.8484848484848485,419.37373737373736,0,0,0.7657886970635974,46
99,100,True,85,0.85,419.17,399,478,0.7663911946465791,46
100,101,True,86,0.8514851485148515,421.18811881188117,623,975,0.7641595861251325,46
101,102,True,87,0.8529411764705882,418.0980392156863,106,112,0.7645255552966064,44
102,103,True,88,0.8543689320388349,415.06796116504853,106,142,0.7644797310587772,44
103,104,True,89,0.8557692307692307,412.9423076923077,194,261,0.7643813185248469,44
104,105,True,90,0.8571428571428571,415.0761904761905,637,776,0.7651509831460674,45
105,106,True,91,0.8584905660377359,413.45283018867923,243,291,0.7655062793662992,46
106,107,True,92,0.8598130841121495,413.8130841121495,452,534,0.7662542182227221,47
107,108,False,92,0.8518518518518519,409.98148148148147,0,0,0.7662542182227221,47
108,109,False,92,0.8440366972477065,406.2201834862385,0,0,0.7662542182227221,47
109,110,False,92,0.8363636363636363,402.5272727272727,0,0,0.7662542182227221,47
110,111,True,93,0.8378378378378378,401.47747747747746,286,398,0.7659281920835983,48
111,112,True,94,0.8392857142857143,402.41964285714283,507,698,0.7654591464139535,47
112,113,True,95,0.8407079646017699,401.7787610619469,330,398,0.7658867389800773,47
113,114,True,96,0.8421052631578947,401.42105263157896,361,488,0.7656733649003631,48
114,115,True,97,0.8434782608695652,403.0782608695652,592,711,0.766460531102219,49
115,116,False,97,0.8362068965517241,399.6034482758621,0,0,0.766460531102219,49
116,117,False,97,0.8290598290598291,396.1880341880342,0,0,0.766460531102219,49
117,118,True,98,0.8305084745762712,395.16101694915255,275,349,0.7665839183257435,50
118,119,True,99,0.8319327731092437,395.0,376,464,0.7669152077792825,50
119,120,True,100,0.8333333333333334,393.15833333333336,174,188,0.767400250492038,51
120,121,True,101,0.8347107438016529,394.89256198347107,603,915,0.7658108151424816,49
121,122,True,102,0.8360655737704918,397.21311475409834,678,803,0.7668085510388152,47
122,123,True,103,0.8373983739837398,394.8943089430894,112,120,0.7671241530710552,48
123,124,True,104,0.8387096774193549,397.6209677419355,733,946,0.7672377573409271,49
